(0, 744, -560)
(-8, 696, -804)
(-272, 576, -712)
(-308, 800, -916)
(-184, 784, -736)
(-216, 952, -704)
(-84, 988, -556)
(-56, 908, -660)
(-168, 968, -388)
(-164, 964, -324)
(-280, 856, -80)
(-308, 708, 436)
(-332, 748, 488)
(-596, 936, 476)
(-432, 1056, -68)
(-468, 996, -40)
(-436, 972, -308)
(-508, 896, -476)
(-516, 920, -556)
(-436, 872, -604)
(-440, 864, -520)
(-484, 760, -620)
(-464, 780, -640)
(-460, 712, -640)
(-504, 700, -640)
(-520, 768, -568)
(-464, 824, -556)
(-400, 868, -536)
(-352, 892, -420)
(-240, 836, -284)
(-380, 956, -264)
(-352, 976, -240)
(-408, 984, -268)
(-352, 1024, -260)
(-332, 1008, -268)
(4, 988, -360)
(28, 948, -376)
(148, 1012, -396)
(256, 980, -272)
(292, 972, -64)
(96, 1040, 28)
(-116, 1016, 160)
(-424, 1040, 132)
(-228, 1040, 172)
(-136, 1036, -12)
(-200, 948, -20)
(-132, 916, -464)
(-132, 848, -704)
(-32, 836, -632)
(-20, 888, -600)
(24, 880, -588)
(188, 824, -512)
(68, 900, -508)
(8, 916, -564)
(-12, 920, -516)
(52, 892, -512)
(20, 932, -536)
(16, 904, -540)
(-8, 924, -504)
(-4, 920, -524)
(-12, 912, -528)
(4, 908, -528)
(-16, 932, -532)
(-20, 908, -504)
(-32, 928, -496)
(-20, 928, -508)
(-56, 944, -532)
(-36, 928, -508)
(-60, 924, -524)
(-60, 920, -512)
(-12, 920, -532)
(-56, 936, -492)
(0, 964, -484)
(-104, 976, -416)
(-144, 1008, -356)
(-104, 996, -340)
(-76, 976, -404)
(-108, 996, -364)
(-104, 1004, -376)
(-100, 996, -324)
(-84, 1008, -332)
(-108, 1008, -332)
(-104, 1004, -360)
(-120, 1004, -356)
(-120, 1012, -360)
(-116, 996, -348)
(-108, 1004, -360)
(-108, 988, -348)
(-12, 1188, 20)
(-112, 996, -372)
(-116, 984, -368)
(-112, 1004, -368)
(-128, 1000, -388)
(-104, 984, -364)
(-108, 992, -368)
(-104, 980, -364)
(-108, 976, -376)
(-128, 1008, -396)
(-108, 992, -380)
(-100, 992, -396)
